127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.090381
127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/static/js/jquery.js, HTTP/1.1, 304, 0.049868
127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/static/css/calendar.css, HTTP/1.1, 304, 0.052043
127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/static/js/calendar.js, HTTP/1.1, 304, 0.051562
127.0.0.1, 2016-10-14 16:27:11, GET, /PlanIt/static/js/web2py.js, HTTP/1.1, 304, 0.043001
127.0.0.1, 2016-10-14 16:27:30, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.061564
127.0.0.1, 2016-10-14 20:59:04, GET, /, HTTP/1.1, 303, 0.001680
127.0.0.1, 2016-10-14 20:59:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.072177
127.0.0.1, 2016-10-14 20:59:04, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.010763
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.012510
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.016911
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.019337
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.128937
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.121991
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.130862
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.006047
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.034036
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.054224
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.007009
127.0.0.1, 2016-10-14 20:59:05, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.011529
127.0.0.1, 2016-10-14 20:59:06, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002150
127.0.0.1, 2016-10-14 20:59:06, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.007889
127.0.0.1, 2016-10-14 20:59:06, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.011355
127.0.0.1, 2016-10-14 20:59:11, GET, /PlanIt, HTTP/1.1, 303, 0.079158
127.0.0.1, 2016-10-14 20:59:11, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.027155
127.0.0.1, 2016-10-14 20:59:11, GET, /PlanIt/static/css/myapp.css, HTTP/1.1, 304, 0.010326
127.0.0.1, 2016-10-14 21:13:51, GET, /, HTTP/1.1, 303, 0.001551
127.0.0.1, 2016-10-14 21:13:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.062932
127.0.0.1, 2016-10-14 21:13:55, GET, /PlanIt/, HTTP/1.1, 500, 0.220364
